tutor_id,tutor_name,subject,experience_years,rating,hourly_rate,location,location_lat_tutor,location_long_tutor,student_id,student_name,required_subject,grade,location_lat_student,location_long_student,distance_km,subject_match,rating_scaled,experience_scaled,rate_scaled,nearby_flag,tutor_score
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S006,Harinakshi Kapadia,Science,8,27.137236768179346,77.97873419092573,162.3276357617944,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S011,Sudiksha Sangha,Science,9,24.79079951508571,85.05301230714589,865.6289909368436,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S012,Vedant Lalla,Science,6,25.62302115240045,85.15834200092567,832.6479014190398,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S015,Watika Sarma,Science,6,28.57417923291577,77.41319356560123,8.244760644199564,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S017,Jagdish Saxena,Science,9,28.628533427009582,77.42335299336989,14.359122456280183,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S021,Wakeeta Savant,Science,6,25.27555276403662,82.96427776775968,658.6286547987758,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S036,Qarin Badami,Science,10,26.46722484530681,80.30469614414974,365.60552070746985,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S037,Veda Pillai,Science,6,28.4880309992909,77.40304481172585,1.8421684528216153,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,1,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S043,Neha Ramanathan,Science,12,25.43137208056839,81.8255685296584,556.2805599343255,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S067,Utkarsh Shukla,Science,10,28.94543654656934,77.67103283638026,56.24712655337646,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S074,Umang Dube,Science,10,24.84458938899521,85.02825562797176,860.4740241571307,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S078,Xavier Varkey,Science,7,25.313433400898063,82.96702551904558,656.4973022080775,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S086,Ekapad Narain,Science,9,25.19448221962772,86.99434625515448,1020.6306598784566,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S087,Rehaan Mann,Science,10,26.138692486530523,85.34955153740925,828.57109298567,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S103,Xavier Reddy,Science,12,25.358151246736327,82.999302235737,656.4402798583665,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667,S107,Yutika Rai,Science,7,25.29265431474219,82.95223246685978,656.5582332032808,1,0.09045226130653261,0.7857142857142857,0.11557788944723618,0,0.4578248384781048
